Modelo,CV ROC-AUC,Mejores Hiperparámetros
Logistic Regression,0.6495,"{'clf__C': 1, 'clf__penalty': 'l1'}"
Random Forest,0.6539,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 10}"
XGBoost,0.657,"{'clf__subsample': 0.7, 'clf__reg_lambda': 5, 'clf__reg_alpha': 0.1, 'clf__n_estimators': 200, 'clf__min_child_weight': 5, 'clf__max_depth': 5, 'clf__learning_rate': 0.01, 'clf__gamma': 0, 'clf__colsample_bytree': 0.7}"
